Country,Country Code,Year,Value
Afghanistan,AFG,2015,0.496
Albania,ALB,2015,0.797
Algeria,DZA,2015,0.737
Andorra,AND,2015,0.869
Angola,AGO,2015,0.603
Antigua and Barbuda,ATG,2015,0.839
Argentina,ARG,2015,0.859
Armenia,ARM,2015,0.777
Australia,AUS,2015,0.938
Austria,AUT,2015,0.919
Azerbaijan,AZE,2015,0.771
Bahamas,BHS,2015,0.807
Bahrain,BHR,2015,0.868
Bangladesh,BGD,2015,0.621
Barbados,BRB,2015,0.8
Belarus,BLR,2015,0.825
Belgium,BEL,2015,0.933
Belize,BLZ,2015,0.721
Benin,BEN,2015,0.511
Bhutan,BTN,2015,0.637
Bolivia,BOL,2015,0.704
Bosnia and Herzegovina,BIH,2015,0.769
Botswana,BWA,2015,0.69
Brazil,BRA,2015,0.764
Brunei,BRN,2015,0.839
Bulgaria,BGR,2015,0.824
Burkina Faso,BFA,2015,0.419
Burundi,BDI,2015,0.432
Cabo Verde,CPV,2015,0.658
Cambodia,KHM,2015,0.562
Cameroon,CMR,2015,0.575
Canada,CAN,2015,0.932
Central African Republic,CAF,2015,0.377
Chad,TCD,2015,0.396
Chile,CHL,2015,0.855
China,CHN,2015,0.75
Colombia,COL,2015,0.767
Comoros,COM,2015,0.565
Congo,COG,2015,0.643
Costa Rica,CRI,2015,0.803
Croatia,HRV,2015,0.852
Cuba,CUB,2015,0.769
Cyprus,CYP,2015,0.882
Czechia,CZE,2015,0.9
Côte d'Ivoire,CIV,2015,0.519
Democratic Republic of the Congo,COD,2015,0.477
Denmark,DNK,2015,0.943
Djibouti,DJI,2015,0.469
Dominica,DMA,2015,0.741
Dominican Republic,DOM,2015,0.747
Ecuador,ECU,2015,0.764
Egypt,EGY,2015,0.706
El Salvador,SLV,2015,0.667
Equatorial Guinea,GNQ,2015,0.656
Eritrea,ERI,2015,0.48
Estonia,EST,2015,0.888
Eswatini,SWZ,2015,0.607
Ethiopia,ETH,2015,0.456
Fiji,FJI,2015,0.715
Finland,FIN,2015,0.938
France,FRA,2015,0.901
Gabon,GAB,2015,0.72
Gambia,GMB,2015,0.482
Georgia,GEO,2015,0.807
Germany,DEU,2015,0.948
Ghana,GHA,2015,0.588
Greece,GRC,2015,0.888
Grenada,GRD,2015,0.782
Guatemala,GTM,2015,0.638
Guinea,GIN,2015,0.465
Guinea-Bissau,GNB,2015,0.481
Guyana,GUY,2015,0.683
Haiti,HTI,2015,0.552
Honduras,HND,2015,0.61
Hungary,HUN,2015,0.847
Iceland,ISL,2015,0.956
India,IND,2015,0.633
Indonesia,IDN,2015,0.701
Iran,IRN,2015,0.788
Iraq,IRQ,2015,0.675
Ireland,IRL,2015,0.931
Israel,ISR,2015,0.902
Italy,ITA,2015,0.889
Jamaica,JAM,2015,0.713
Japan,JPN,2015,0.917
Jordan,JOR,2015,0.743
Kazakhstan,KAZ,2015,0.819
Kenya,KEN,2015,0.583
Kiribati,KIR,2015,0.623
Kuwait,KWT,2015,0.832
Kyrgyzstan,KGZ,2015,0.695
Laos,LAO,2015,0.604
Latvia,LVA,2015,0.859
Lebanon,LBN,2015,0.763
Lesotho,LSO,2015,0.517
Liberia,LBR,2015,0.48
Libya,LBY,2015,0.728
Liechtenstein,LIE,2015,0.925
Lithuania,LTU,2015,0.869
Luxembourg,LUX,2015,0.913
Madagascar,MDG,2015,0.501
Malawi,MWI,2015,0.504
Malaysia,MYS,2015,0.8
Maldives,MDV,2015,0.725
Mali,MLI,2015,0.413
Malta,MLT,2015,0.892
Marshall Islands,MHL,2015,0.691
Mauritania,MRT,2015,0.551
Mauritius,MUS,2015,0.792
Mexico,MEX,2015,0.773
Micronesia,FSM,2015,0.604
Moldova,MDA,2015,0.759
Monaco,MCO,2015,
Mongolia,MNG,2015,0.753
Montenegro,MNE,2015,0.839
Morocco,MAR,2015,0.659
Mozambique,MOZ,2015,0.457
Myanmar,MMR,2015,0.566
Namibia,NAM,2015,0.63
Nauru,NRU,2015,0.66
Nepal,NPL,2015,0.575
Netherlands,NLD,2015,0.94
New Zealand,NZL,2015,0.934
Nicaragua,NIC,2015,0.679
Niger,NER,2015,0.374
Nigeria,NGA,2015,0.53
North Korea,PRK,2015,
North Macedonia,MKD,2015,0.795
Norway,NOR,2015,0.959
Oman,OMN,2015,0.838
Pakistan,PAK,2015,0.527
Palau,PLW,2015,0.802
Palestine,PSE,2015,0.712
